,Trades,Win,Loss,Win_Rate,Profit
5522.tw,42,15,27,0.35714285714285715,-4.859642231128062
5871.tw,49,28,21,0.5714285714285714,138.6004273986614
6176.tw,52,23,29,0.4423076923076923,4.306713166105572
6239.tw,45,22,23,0.4888888888888889,40.477882804030784
6269.tw,63,24,39,0.38095238095238093,-17.48159901928824
6285.tw,53,20,33,0.37735849056603776,-17.9872586572467
6414.tw,69,25,44,0.36231884057971014,-2.4602421612670295
6415.tw,87,39,48,0.4482758620689655,4.2350650249999715
6456.tw,78,31,47,0.3974358974358974,29.43247591956295
8150.tw,56,21,35,0.375,15.113528711277082
8454.tw,51,24,27,0.47058823529411764,319.8188670920003
8464.tw,71,32,39,0.4507042253521127,-10.736371185000241
9907.tw,44,13,31,0.29545454545454547,-15.631241377828061
9910.tw,65,22,43,0.3384615384615385,-42.99743555379749
9914.tw,64,24,40,0.375,25.626816359999776
9917.tw,20,4,16,0.2,-21.850593926968763
9921.tw,66,18,48,0.2727272727272727,-46.53537411750007
9933.tw,34,17,17,0.5,1.6736981477305992
9938.tw,60,29,31,0.48333333333333334,69.90576742959406
9945.tw,38,20,18,0.5263157894736842,142.10606149500308
